Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~parallela12.PrjPcb|ReportField=ProjectFullPath~C:\Users\Fatih\Desktop\Metin\Proje\parallela12.PrjPcb|ReportField=Title~Bill of Materials For Schematic Document [FPGA.SchDoc]|ReportField=TotalQuantity~172|ReportField=ReportTime~08:17:33|ReportField=ReportDate~27.11.2015|ReportField=ReportDateTime~27.11.2015 08:17:33|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~27.11.2015|ReportField=CurrentTime~08:17:21|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Fatih\Desktop\Metin\Proje\FPGA.SchDoc|ReportField=DocumentName~FPGA.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~25.11.2015|ReportField=Organization~|ReportField=ProjectName~parallela12.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~FPGA.SchDoc|ReportField=DataSourceFullPath~C:\Users\Fatih\Desktop\Metin\Proje\FPGA.SchDoc
1|10nF|Non-polarised capacitor|C25, C29|CAPC1608X87N|CC0603_10NF_50V_10%_X7R|2
2|100nF|Non-polarised capacitor|C26, C27, C28, C30, C35, C38, C141, C142|CAPC1608X87N|CC0603_100NF_50V_10%_X7R|8
3|47pF|Non-polarised capacitor|C31, C43|CAPC1608X87N|CC0603_47PF_50V_5%_NP0|2
4|47uF|Non-polarised capacitor|C32, C34, C44, C46|CAPC3225X270N|CC1210_47UF_10V_20%_X5R|4
5|10uF|Non-polarised capacitor|C33, C37, C42, C45|CAPC2012X135N|CC0805_10UF_10V_10%_X7R|4
6|470nF|Non-polarised capacitor|C36, C47, C48, C52, C53, C54, C55, C59, C60, C61, C62, C66, C67, C68, C69, C73, C74, C75, C76, C80, C81, C82, C83, C87, C88, C89, C90, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C130, C131, C132, C133|CAPC1608X87N|CC0603_470NF_16V_10%_X5R|51
7|10uF|Non-polarised capacitor|C39|CAPC1608X87N|CC0603_10UF_6.3V_20%_X5R|1
8|22uF|Non-polarised capacitor|C40|CAPC2012X135N|CC0805_22UF_16V_10%_X5R|1
9|4.7uF|Non-polarised capacitor|C41, C50, C51, C57, C58, C64, C65, C71, C72, C78, C79, C85, C86, C92, C93, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C128, C129|CAPC1608X87N|CC0603_4.7UF_6.3V_10%_X5R|29
10|47uF|Non-polarised capacitor|C49, C56, C63, C70, C77, C84, C91, C127|CAPC2012X140N|CC0805_47UF_6.3V_20%_X5R|8
